product_id,product_name,category,base_price,cost_price,current_inventory
P001,Wireless Headphones,Electronics,1000.0,650.0,120
P002,Smart Watch,Electronics,1500.0,950.0,80
P003,USB-C Cable,Accessories,300.0,120.0,250
P004,Laptop Stand,Accessories,2500.0,1500.0,45
P005,Bluetooth Speaker,Electronics,3500.0,2200.0,30
P006,Gaming Mouse,Electronics,1200.0,750.0,110
P007,Mechanical Keyboard,Electronics,2200.0,1400.0,60
P008,Portable Charger,Accessories,900.0,600.0,95
P009,Tablet Sleeve,Accessories,700.0,450.0,150
P010,Noise Cancelling Earbuds,Electronics,1800.0,1100.0,70
P011,Webcam,Electronics,1600.0,1000.0,85
P012,Monitor Lamp,Home Office,800.0,500.0,65
